voynich_word,profile,candidates,confidence
okeodaly,Generic Herb,Generic,Low
qy,Generic Herb,Generic,Low
qoteesy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
chckhody,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
okod,Generic Herb,Generic,Low
dcheos,Generic Herb,Generic,Low
chekol,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
okeam,Generic Herb,Generic,Low
tchdor,Generic Herb,Generic,Low
alod,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
odaly,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
sheocphy,Generic Herb,Generic,Low
chosaiin,Generic Herb,Generic,Low
chchy,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
pcholy,Dry Spice / Resin,"Pepper, Ginger, Cumin, Resin",Low
deeor,Generic Herb,Generic,Low
oror,Generic Herb,Generic,Low
cheekain,Generic Herb,Generic,Low
qokeain,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
oydar,Generic Herb,Generic,Low
kshoy,Generic Herb,Generic,Low
ckhoy,Generic Herb,Generic,Low
dan<$><plant>,Generic Herb,Generic,Low
olytol,Generic Herb,Generic,Low
osh,Generic Herb,Generic,Low
chot?,Generic Herb,Generic,Low
oto?,Generic Herb,Generic,Low
ch??y,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chof,Generic Herb,Generic,Low
ocho,Generic Herb,Generic,Low
otorchy,Generic Herb,Generic,Low
chcthod,Generic Herb,Generic,Low
dydy,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
orshy,Generic Herb,Generic,Low
octhol,Generic Herb,Generic,Low
"chol,daiin",Generic Herb,Generic,Low
cholkaiin,Generic Herb,Generic,Low
chkor,Generic Herb,Generic,Low
ch??,Generic Herb,Generic,Low
octhor,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
oloiin,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
oldor,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
otdy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
olsar,Generic Herb,Generic,Low
okeer,Generic Herb,Generic,Low
chcth,Generic Herb,Generic,Low
oke?,Generic Herb,Generic,Low
chokchaiin,Generic Herb,Generic,Low
chotchol,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
cheo?,Generic Herb,Generic,Low
ch?k?y,Generic Herb,Generic,Low
otas,Generic Herb,Generic,Low
cheef,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
chee,Generic Herb,Generic,Low
okeeeo,Generic Herb,Generic,Low
oke?y,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
arl,Generic Herb,Generic,Low
ofchor,Generic Herb,Generic,Low
qokalchdy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chekchey,Generic Herb,Generic,Low
akar,Generic Herb,Generic,Low
otolol,Generic Herb,Generic,Low
chckheey,Generic Herb,Generic,Low
chefy,Generic Herb,Generic,Low
chekcheey,Generic Herb,Generic,Low
cheetam,Generic Herb,Generic,Low
oteo?,Generic Herb,Generic,Low
qotsheod,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
chdody,Generic Herb,Generic,Low
keechy,Generic Herb,Generic,Low
chet,Generic Herb,Generic,Low
chokchodaiin,Generic Herb,Generic,Low
cheokor,Generic Herb,Generic,Low
chepaiin,Generic Herb,Generic,Low
choksy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
cheop,Generic Herb,Generic,Low
qokedam,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
cholar,Generic Herb,Generic,Low
ch?t?y,Generic Herb,Generic,Low
shsy,Generic Herb,Generic,Low
cheer,Generic Herb,Generic,Low
okechoy,Generic Herb,Generic,Low
qolol,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
kan,Generic Herb,Generic,Low
olom,Generic Herb,Generic,Low
shkeody,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
odory,Generic Herb,Generic,Low
qekor,Generic Herb,Generic,Low
shekain,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
toaiin,Generic Herb,Generic,Low
odeey,Generic Herb,Generic,Low
okchoy,Generic Herb,Generic,Low
chodo,Generic Herb,Generic,Low
okolor,Generic Herb,Generic,Low
qotoy,Generic Herb,Generic,Low
cheeykam,Generic Herb,Generic,Low
cheas,Generic Herb,Generic,Low
chodam,Generic Herb,Generic,Low
ytcho,Generic Herb,Generic,Low
choldar,Generic Herb,Generic,Low
chald,Generic Herb,Generic,Low
choschy,Generic Herb,Generic,Low
otariin,Generic Herb,Generic,Low
chokcho,Generic Herb,Generic,Low
oporody,Generic Herb,Generic,Low
chshoty,Generic Herb,Generic,Low
chtchor,Generic Herb,Generic,Low
chcthor,Generic Herb,Generic,Low
torshor,Generic Herb,Generic,Low
oai?n,Generic Herb,Generic,Low
oykshy,Generic Herb,Generic,Low
octhain,Generic Herb,Generic,Low
oshaiin,Generic Herb,Generic,Low
oldckhy,Generic Herb,Generic,Low
ods,Generic Herb,Generic,Low
choldshy,Generic Herb,Generic,Low
chlol,Generic Herb,Generic,Low
oshor,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
choraly,Generic Herb,Generic,Low
okeoaiin,Generic Herb,Generic,Low
oeeesoy,Generic Herb,Generic,Low
okchain,Generic Herb,Generic,Low
chkoldy,Generic Herb,Generic,Low
oloiir,Generic Herb,Generic,Low
olols,Generic Herb,Generic,Low
opshody,Generic Herb,Generic,Low
okchom,Generic Herb,Generic,Low
dalchedy,Generic Herb,Generic,Low
qodary,Generic Herb,Generic,Low
chkeeey,Generic Herb,Generic,Low
okshes,Generic Herb,Generic,Low
cheecthy,Generic Herb,Generic,Low
chchoty,Generic Herb,Generic,Low
chokshy,Generic Herb,Generic,Low
chorain,Generic Herb,Generic,Low
scheo,Generic Herb,Generic,Low
oke?dy,Generic Herb,Generic,Low
okchan,Generic Herb,Generic,Low
otshchor,Generic Herb,Generic,Low
olchckhy,Generic Herb,Generic,Low
chefal,Generic Herb,Generic,Low
chekaly,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
chorody,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
okchochor,Generic Herb,Generic,Low
ordy,Generic Herb,Generic,Low
chc?hy,Generic Herb,Generic,Low
chekl,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
oleeol,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
otshaiin,Generic Herb,Generic,Low
daindy,Generic Herb,Generic,Low
otchoty,Generic Herb,Generic,Low
chokeeor,Generic Herb,Generic,Low
chotcheey,Generic Herb,Generic,Low
oykeedy,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
chef,Generic Herb,Generic,Low
oloaiin,Generic Herb,Generic,Low
oracphy,Generic Herb,Generic,Low
oyty,Generic Herb,Generic,Low
opchod,Generic Herb,Generic,Low
opchaiin,Generic Herb,Generic,Low
chem,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
chdalor,Generic Herb,Generic,Low
sheedo,Generic Herb,Generic,Low
opdar,Generic Herb,Generic,Low
chckham,Generic Herb,Generic,Low
oepchol,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
"ol,shey","Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chedyty,Generic Herb,Generic,Low
otsh,Generic Herb,Generic,Low
chotshy,Generic Herb,Generic,Low
opcheodal,Generic Herb,Generic,Low
chariin,Generic Herb,Generic,Low
ch?kaiin,Generic Herb,Generic,Low
cheyor,Generic Herb,Generic,Low
olcheky,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
chcphol,Generic Herb,Generic,Low
chai?n,Generic Herb,Generic,Low
okeodaiin,Generic Herb,Generic,Low
otaky,Generic Herb,Generic,Low
chokcheo,Generic Herb,Generic,Low
olaly,Generic Herb,Generic,Low
dory,Generic Herb,Generic,Low
cheocthey,Generic Herb,Generic,Low
chodol,Generic Herb,Generic,Low
okai?,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
o?aly,Generic Herb,Generic,Low
cheoteey,Generic Herb,Generic,Low
cheotchy,Generic Herb,Generic,Low
otairor,Generic Herb,Generic,Low
ald,Generic Herb,Generic,Low
chly,Generic Herb,Generic,Low
ypary,Generic Herb,Generic,Low
cheesy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chkarol,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
chckh,Generic Herb,Generic,Low
opchaly,Generic Herb,Generic,Low
alaldy,Generic Herb,Generic,Low
fchor,Generic Herb,Generic,Low
ldain,Generic Herb,Generic,Low
okory,Generic Herb,Generic,Low
ldol,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
qoldy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
chechol,Generic Herb,Generic,Low
qekeey,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
oleedy,Generic Herb,Generic,Low
ofoly,Generic Herb,Generic,Low
chckhor,Generic Herb,Generic,Low
aiim,Generic Herb,Generic,Low
choeesy,Generic Herb,Generic,Low
ssheo,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
qokealdy,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
ysheeody,Generic Herb,Generic,Low
charain,Generic Herb,Generic,Low
okedam,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
talol,Generic Herb,Generic,Low
teedal,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
cheshy,Generic Herb,Generic,Low
cphoal,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
otairin,Generic Herb,Generic,Low
otochor,Generic Herb,Generic,Low
cha?,Generic Herb,Generic,Low
chololy,Generic Herb,Generic,Low
okadaiin,Generic Herb,Generic,Low
chpady,Generic Herb,Generic,Low
"ol,chey",Generic Herb,Generic,Low
chkoy,Generic Herb,Generic,Low
dshoy,Generic Herb,Generic,Low
chcphhy,Generic Herb,Generic,Low
"cheol,dy",Generic Herb,Generic,Low
oksheo,Generic Herb,Generic,Low
chokoiin,Generic Herb,Generic,Low
chodykchy,Generic Herb,Generic,Low
chorchy,Generic Herb,Generic,Low
oykchor,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chodl,Generic Herb,Generic,Low
chtoiin,Generic Herb,Generic,Low
octhos,Generic Herb,Generic,Low
ot?y,Generic Herb,Generic,Low
chpchol,Generic Herb,Generic,Low
chpchey,Generic Herb,Generic,Low
chypchy,Generic Herb,Generic,Low
okytaiin,Generic Herb,Generic,Low
oldaim,Generic Herb,Generic,Low
chockhol,Generic Herb,Generic,Low
oekor,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
ch?or,Generic Herb,Generic,Low
oytor,Generic Herb,Generic,Low
olody,Generic Herb,Generic,Low
okshal,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
dchydy,Generic Herb,Generic,Low
chpcheor,Generic Herb,Generic,Low
okchod,Generic Herb,Generic,Low
chopy,Generic Herb,Generic,Low
chokoaiin,Generic Herb,Generic,Low
chokoldy,Generic Herb,Generic,Low
ochoaiin,Generic Herb,Generic,Low
ochaiin,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
oeeockhy,Generic Herb,Generic,Low
otolosheey,Generic Herb,Generic,Low
chosy,Generic Herb,Generic,Low
ocphal,Generic Herb,Generic,Low
otyky,Generic Herb,Generic,Low
fcholy,Generic Herb,Generic,Low
chdoly,Generic Herb,Generic,Low
odchaiin,Generic Herb,Generic,Low
opyaiin,Generic Herb,Generic,Low
chk,Generic Herb,Generic,Low
ofchol,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
olfchor,Generic Herb,Generic,Low
otchald,Generic Herb,Generic,Low
ocholdy,Generic Herb,Generic,Low
cheesees,Generic Herb,Generic,Low
okeeaiin,Generic Herb,Generic,Low
orcho,Generic Herb,Generic,Low
chkear,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chypchey,Generic Herb,Generic,Low
chakod,Generic Herb,Generic,Low
otcholchy,Generic Herb,Generic,Low
oschotshl,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chkchean,Generic Herb,Generic,Low
chtchey,Generic Herb,Generic,Low
chokeor,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
oyshy,Generic Herb,Generic,Low
cheda,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
cheeoy,Generic Herb,Generic,Low
chefchol,Generic Herb,Generic,Low
cheokar,Generic Herb,Generic,Low
chetchey,Generic Herb,Generic,Low
okeoy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
okedody,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
oltey,Generic Herb,Generic,Low
todaly,Generic Herb,Generic,Low
yshear,Generic Herb,Generic,Low
chcfhal,Generic Herb,Generic,Low
qooldy,Generic Herb,Generic,Low
ytydy,Generic Herb,Generic,Low
chopdain,Generic Herb,Generic,Low
chon,Generic Herb,Generic,Low
okshol,Generic Herb,Generic,Low
chokokor,Generic Herb,Generic,Low
okchop,Generic Herb,Generic,Low
chshol,Generic Herb,Generic,Low
iir,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chefaiin,Generic Herb,Generic,Low
chdeey,Generic Herb,Generic,Low
chtshar,Generic Herb,Generic,Low
chotody,Generic Herb,Generic,Low
okeokear,Generic Herb,Generic,Low
ch?ody,Generic Herb,Generic,Low
rom,Generic Herb,Generic,Low
opchaldy,Generic Herb,Generic,Low
oka?,Generic Herb,Generic,Low
cholsho,Generic Herb,Generic,Low
opchety,Generic Herb,Generic,Low
otchdain,Generic Herb,Generic,Low
taly,Generic Herb,Generic,Low
cheet,Generic Herb,Generic,Low
chotcheol,Generic Herb,Generic,Low
oriin,Generic Herb,Generic,Low
dairin,Generic Herb,Generic,Low
oshol,Generic Herb,Generic,Low
olkee,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
ochockhy,Generic Herb,Generic,Low
chochar,Generic Herb,Generic,Low
chocthody,Generic Herb,Generic,Low
chokan,Generic Herb,Generic,Low
okes,Generic Herb,Generic,Low
ochoiky,Generic Herb,Generic,Low
chas,Generic Herb,Generic,Low
chdolaiin,Generic Herb,Generic,Low
okch?,Generic Herb,Generic,Low
chelal,Generic Herb,Generic,Low
oeeed,Generic Herb,Generic,Low
cheady,Generic Herb,Generic,Low
che?dy,Generic Herb,Generic,Low
che?k?y,Generic Herb,Generic,Low
chteody,Generic Herb,Generic,Low
oforam,Generic Herb,Generic,Low
ofol,Generic Herb,Generic,Low
olkchdal,Generic Herb,Generic,Low
oparairdly,Generic Herb,Generic,Low
otardaly,Generic Herb,Generic,Low
olchear,Generic Herb,Generic,Low
oleesey,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
olalor,Generic Herb,Generic,Low
okealy,Generic Herb,Generic,Low
chekeody,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
choekeey,Generic Herb,Generic,Low
cheyl,Generic Herb,Generic,Low
chxar,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
oteochey,Generic Herb,Generic,Low
qoteoly,Generic Herb,Generic,Low
shekaly,Generic Herb,Generic,Low
asy,Generic Herb,Generic,Low
diin,Generic Herb,Generic,Low
ofydy,Generic Herb,Generic,Low
okardy,Generic Herb,Generic,Low
ay,Generic Herb,Generic,Low
okosy,Generic Herb,Generic,Low
otalaly,Generic Herb,Generic,Low
chpaly,Generic Herb,Generic,Low
yl,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
oraiiny,Generic Herb,Generic,Low
doin,Generic Herb,Generic,Low
edy,Generic Herb,Generic,Low
okainy,Generic Herb,Generic,Low
aithy,Generic Herb,Generic,Low
chechy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
cheory,Generic Herb,Generic,Low
ysheeo,Generic Herb,Generic,Low
chofy,Generic Herb,Generic,Low
chotom,Generic Herb,Generic,Low
tshdol,Generic Herb,Generic,Low
sosar,Generic Herb,Generic,Low
salo,Generic Herb,Generic,Low
chockhar,Generic Herb,Generic,Low
ctheoly,Generic Herb,Generic,Low
ykory,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
olkeeol,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
kchdaldy,Generic Herb,Generic,Low
okshed,Generic Herb,Generic,Low
chdaldy,Generic Herb,Generic,Low
qofchol,Generic Herb,Generic,Low
qokaiy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
checthdy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
cheotydy,Generic Herb,Generic,Low
oxar,Generic Herb,Generic,Low
cheefy,Generic Herb,Generic,Low
okshdy,Generic Herb,Generic,Low
ysheeoaiin,Generic Herb,Generic,Low
okarol,Generic Herb,Generic,Low
qoteeddy,Generic Herb,Generic,Low
oldal,Generic Herb,Generic,Low
cheopy,Generic Herb,Generic,Low
